fdr_family_id,state,method,variable,frozen_weight_variable,fdr_n_tests,n_islands_excluded,fdr_alpha,fdr_critical_p,raw_significant_count,fdr_significant_count,formal_p_value_field,status,analysis_scope,frozen_weight_method
IN__WUIZ__p_a,IN,WUI-Z,p_a,area_proportion,92,0,0.050000000000,0.008152173913,36,15,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KS__WUIP__p_a,KS,WUI-P,p_a,area_proportion,105,0,0.050000000000,0.003333333333,24,7,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KS__WUIP__p_s,KS,WUI-P,p_s,structure_proportion,100,0,0.050000000000,0.000500000000,21,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KS__WUIS__p_a,KS,WUI-S,p_a,area_proportion,105,0,0.050000000000,0.010952380952,37,23,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
KS__WUIS__p_s,KS,WUI-S,p_s,structure_proportion,105,0,0.050000000000,0.005714285714,23,12,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
KS__WUIZ__p_a,KS,WUI-Z,p_a,area_proportion,105,0,0.050000000000,0.000476190476,16,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KY__WUIP__p_a,KY,WUI-P,p_a,area_proportion,120,0,0.050000000000,0.005416666667,38,13,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KY__WUIP__p_s,KY,WUI-P,p_s,structure_proportion,120,0,0.050000000000,0.010416666667,42,25,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
KY__WUIS__p_a,KY,WUI-S,p_a,area_proportion,120,0,0.050000000000,0.007500000000,28,18,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
KY__WUIS__p_s,KY,WUI-S,p_s,structure_proportion,120,0,0.050000000000,0.011666666667,42,28,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
KY__WUIZ__p_a,KY,WUI-Z,p_a,area_proportion,120,0,0.050000000000,0.000416666667,20,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
LA__WUIP__p_a,LA,WUI-P,p_a,area_proportion,64,0,0.050000000000,0.000781250000,12,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
LA__WUIP__p_s,LA,WUI-P,p_s,structure_proportion,57,0,0.050000000000,0.000877192982,6,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
LA__WUIS__p_a,LA,WUI-S,p_a,area_proportion,64,0,0.050000000000,0.003125000000,13,4,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
LA__WUIS__p_s,LA,WUI-S,p_s,structure_proportion,64,0,0.050000000000,0.006250000000,13,8,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
LA__WUIZ__p_a,LA,WUI-Z,p_a,area_proportion,64,0,0.050000000000,0.005468750000,11,7,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MI__WUIP__p_a,MI,WUI-P,p_a,area_proportion,83,0,0.050000000000,0.000602409639,16,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MI__WUIP__p_s,MI,WUI-P,p_s,structure_proportion,42,1,0.050000000000,0.001190476190,12,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MI__WUIS__p_a,MI,WUI-S,p_a,area_proportion,83,0,0.050000000000,0.005421686747,20,9,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MI__WUIS__p_s,MI,WUI-S,p_s,structure_proportion,83,0,0.050000000000,0.025301204819,51,42,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MI__WUIZ__p_a,MI,WUI-Z,p_a,area_proportion,83,0,0.050000000000,0.005421686747,20,9,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MN__WUIP__p_a,MN,WUI-P,p_a,area_proportion,87,0,0.050000000000,0.008045977011,30,14,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MN__WUIP__p_s,MN,WUI-P,p_s,structure_proportion,87,0,0.050000000000,0.007471264368,27,13,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MN__WUIS__p_a,MN,WUI-S,p_a,area_proportion,87,0,0.050000000000,0.009770114943,36,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MN__WUIS__p_s,MN,WUI-S,p_s,structure_proportion,87,0,0.050000000000,0.009195402299,31,16,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MN__WUIZ__p_a,MN,WUI-Z,p_a,area_proportion,87,0,0.050000000000,0.004597701149,30,8,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MO__WUIP__p_a,MO,WUI-P,p_a,area_proportion,115,0,0.050000000000,0.000434782609,13,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MO__WUIP__p_s,MO,WUI-P,p_s,structure_proportion,53,0,0.050000000000,0.000943396226,7,0,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MO__WUIS__p_a,MO,WUI-S,p_a,area_proportion,115,0,0.050000000000,0.010000000000,45,23,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MO__WUIS__p_s,MO,WUI-S,p_s,structure_proportion,115,0,0.050000000000,0.008695652174,42,20,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-S
MO__WUIZ__p_a,MO,WUI-Z,p_a,area_proportion,115,0,0.050000000000,0.007391304348,29,17,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MS__WUIP__p_a,MS,WUI-P,p_a,area_proportion,82,0,0.050000000000,0.012195121951,27,20,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
MS__WUIP__p_s,MS,WUI-P,p_s,structure_proportion,82,0,0.050000000000,0.004268292683,22,7,p_sim_two_sided,PASS,county_within_state_patch75_500m,WUI-P
