analysis_panel,state,radius_m,method_pair,common_valid_pixels,union_pixels,jaccard,union_area_km2
five_state_radius_sensitivity,FL,800,WUI-P/WUI-S,205482681.000000000000,50473268,0.679140074703,
five_state_radius_sensitivity,FL,800,WUI-P/WUI-Z,205482681.000000000000,56069346,0.417030314568,
five_state_radius_sensitivity,FL,800,WUI-S/WUI-Z,205482681.000000000000,43171883,0.488451870399,
five_state_radius_sensitivity,FL,900,WUI-P/WUI-S,205482681.000000000000,51646736,0.679838276711,
five_state_radius_sensitivity,FL,900,WUI-P/WUI-Z,205482681.000000000000,57083175,0.413310927432,
five_state_radius_sensitivity,FL,900,WUI-S/WUI-Z,205482681.000000000000,43649386,0.490088199637,
five_state_radius_sensitivity,FL,1000,WUI-P/WUI-S,205482681.000000000000,52346473,0.676627592465,
five_state_radius_sensitivity,FL,1000,WUI-P/WUI-Z,205482681.000000000000,57684658,0.411368929326,
five_state_radius_sensitivity,FL,1000,WUI-S/WUI-Z,205482681.000000000000,43765271,0.492296323265,
five_state_radius_sensitivity,PA,100,WUI-P/WUI-S,132533003.000000000000,22243629,0.651304065537,
five_state_radius_sensitivity,PA,100,WUI-P/WUI-Z,132533003.000000000000,50419490,0.253529894888,
five_state_radius_sensitivity,PA,100,WUI-S/WUI-Z,132533003.000000000000,50410027,0.262146814561,
five_state_radius_sensitivity,PA,200,WUI-P/WUI-S,132533003.000000000000,47318668,0.761750795690,
five_state_radius_sensitivity,PA,200,WUI-P/WUI-Z,132533003.000000000000,61151632,0.420851940632,
five_state_radius_sensitivity,PA,200,WUI-S/WUI-Z,132533003.000000000000,60447255,0.432198765684,
five_state_radius_sensitivity,PA,300,WUI-P/WUI-S,132533003.000000000000,51435137,0.756877910134,
five_state_radius_sensitivity,PA,300,WUI-P/WUI-Z,132533003.000000000000,60716658,0.449655545929,
five_state_radius_sensitivity,PA,300,WUI-S/WUI-Z,132533003.000000000000,62816231,0.471645345930,
