state,radius_m,method_pair,common_valid_pixels,union_pixels,union_area_km2,jaccard
MD,500,WUI-P/WUI-Z,35701204,13355005,12019.504499999999,0.532402945562
MD,500,WUI-S/WUI-Z,35701204,12572477,11315.229300000001,0.522365640438
ME,500,WUI-P/WUI-S,101814710,23298603,20968.742699999999,0.829625063786
ME,500,WUI-P/WUI-Z,101814710,27029346,24326.411400000001,0.525706504331
ME,500,WUI-S/WUI-Z,101814710,28281884,25453.695599999999,0.522932524580
MI,500,WUI-P/WUI-S,278318737,48035420,43231.877999999997,0.277963594364
MI,500,WUI-P/WUI-Z,278318737,38646455,34781.809500000003,0.250783674725
MI,500,WUI-S/WUI-Z,278318737,55301862,49771.675799999997,0.448561261825
MN,500,WUI-P/WUI-S,250201884,36138855,32524.969499999999,0.551744043911
MN,500,WUI-P/WUI-Z,250201884,33883765,30495.388500000001,0.237360812767
MN,500,WUI-S/WUI-Z,250201884,29983144,26984.829600000001,0.264379079125
MO,500,WUI-P/WUI-S,200599680,31538957,28385.061300000001,0.135093338692
MO,500,WUI-P/WUI-Z,200599680,18119445,16307.500500000000,0.127296448650
MO,500,WUI-S/WUI-Z,200599680,35323918,31791.526200000000,0.302209964365
MS,500,WUI-P/WUI-S,139387019,60906277,54815.649299999997,0.610359520087
MS,500,WUI-P/WUI-Z,139387019,63654005,57288.604500000001,0.346925523382
MS,500,WUI-S/WUI-Z,139387019,46694802,42025.321799999998,0.398541469348
MT,500,WUI-P/WUI-S,423156033,26903811,24213.429899999999,0.486724167071
MT,500,WUI-P/WUI-Z,423156033,20888154,18799.338599999999,0.240014842863
MT,500,WUI-S/WUI-Z,423156033,21831728,19648.555199999999,0.209549285334
NC,500,WUI-P/WUI-S,154877123,67655971,60890.373899999999,0.817828259386
NC,500,WUI-P/WUI-Z,154877123,78581756,70723.580399999992,0.544114641572
NC,500,WUI-S/WUI-Z,154877123,73883509,66495.158100000001,0.530126594285
ND,500,WUI-P/WUI-S,203454506,12888553,11599.697700000001,0.226841290873
ND,500,WUI-P/WUI-Z,203454506,7942820,7148.538000000000,0.074124555259
ND,500,WUI-S/WUI-Z,203454506,8451410,7606.269000000000,0.065225684235
NE,500,WUI-P/WUI-S,222587524,15668881,14101.992899999999,0.304020050953
NE,500,WUI-P/WUI-Z,222587524,7472067,6724.860299999999,0.109289437581
NE,500,WUI-S/WUI-Z,222587524,13850052,12465.046800000000,0.058516025788
NH,500,WUI-P/WUI-S,26906819,14798625,13318.762500000001,0.805067159956
NH,500,WUI-P/WUI-Z,26906819,16080652,14472.586799999999,0.622039330246
NH,500,WUI-S/WUI-Z,26906819,15052871,13547.583900000000,0.605062715279
NJ,500,WUI-P/WUI-S,25091131,9902681,8912.412899999999,0.880847418997
NJ,500,WUI-P/WUI-Z,25091131,11135188,10021.669200000000,0.654833398412
NJ,500,WUI-S/WUI-Z,25091131,11256364,10130.727600000000,0.658557505781
NM,500,WUI-P/WUI-S,349916765,17160175,15444.157499999999,0.634841952369
NM,500,WUI-P/WUI-Z,349916765,15212997,13691.697300000000,0.407071795255
NM,500,WUI-S/WUI-Z,349916765,16317106,14685.395399999999,0.385049346373
NV,500,WUI-P/WUI-S,318196629,7796656,7016.990400000000,0.503516764110
NV,500,WUI-P/WUI-Z,318196629,6967970,6271.173000000000,0.346098361503
NV,500,WUI-S/WUI-Z,318196629,6172311,5555.079900000000,0.384793475248
NY,500,WUI-P/WUI-S,157006893,56037085,50433.376499999998,0.814946726797
NY,500,WUI-P/WUI-Z,157006893,61280991,55152.891900000002,0.489595851999
NY,500,WUI-S/WUI-Z,157006893,63168342,56851.507799999999,0.480913366382
OH,500,WUI-P/WUI-S,128998124,28739865,25865.878499999999,0.768110358208
OH,500,WUI-P/WUI-Z,128998124,30053280,27047.952000000001,0.457209828678
OH,500,WUI-S/WUI-Z,128998124,33140411,29826.369900000002,0.449344970405
OK,500,WUI-P/WUI-S,201152946,38511074,34659.966600000000,0.133837815066
OK,500,WUI-P/WUI-Z,201152946,17736581,15962.922900000000,0.202300713988
OK,500,WUI-S/WUI-Z,201152946,41297802,37168.021800000002,0.295659318624
OR,500,WUI-P/WUI-S,283110409,21687887,19519.098300000001,0.714715961034
OR,500,WUI-P/WUI-Z,283110409,21356632,19220.968799999999,0.379912478709
OR,500,WUI-S/WUI-Z,283110409,21034847,18931.362300000001,0.371502678389
PA,500,WUI-P/WUI-S,132533003,59435477,53491.929300000003,0.782566244063
PA,500,WUI-P/WUI-Z,132533003,63192079,56872.871099999997,0.495803469292
PA,500,WUI-S/WUI-Z,132533003,67171107,60453.996299999999,0.511378128695
RI,500,WUI-P/WUI-S,4446043,1903181,1712.862900000000,0.964841494319
