analysis_panel,state,method,buffer_m,Total_struct,Intermix_struct,Interface_struct,WUI_struct
national49_standardized_500m,NE,WUI-P,500,2200535.000000000000,72860.000000000000,173485.000000000000,246345.000000000000
national49_standardized_500m,NE,WUI-S,500,1183728.000000000000,94115.000000000000,135950.000000000000,230065.000000000000
national49_standardized_500m,NH,WUI-P,500,659061.000000000000,343547.000000000000,184483.000000000000,528030.000000000000
national49_standardized_500m,NH,WUI-S,500,565193.000000000000,284040.000000000000,177048.000000000000,461088.000000000000
national49_standardized_500m,NJ,WUI-P,500,4572044.000000000000,315682.000000000000,964271.000000000000,1279953.000000000000
national49_standardized_500m,NJ,WUI-S,500,2537032.000000000000,204371.000000000000,610244.000000000000,814615.000000000000
national49_standardized_500m,NM,WUI-P,500,1990541.000000000000,463264.000000000000,940000.000000000000,1403264.000000000000
national49_standardized_500m,NM,WUI-S,500,1030964.000000000000,280174.000000000000,486466.000000000000,766640.000000000000
national49_standardized_500m,NV,WUI-P,500,2480773.000000000000,239967.000000000000,1017748.000000000000,1257715.000000000000
national49_standardized_500m,NV,WUI-S,500,1001269.000000000000,72756.000000000000,445593.000000000000,518349.000000000000
national49_standardized_500m,NY,WUI-P,500,9555303.000000000000,1020853.000000000000,1471907.000000000000,2492760.000000000000
national49_standardized_500m,NY,WUI-S,500,4955024.000000000000,737412.000000000000,927496.000000000000,1664908.000000000000
national49_standardized_500m,OH,WUI-P,500,8176224.000000000000,393809.000000000000,458055.000000000000,851864.000000000000
national49_standardized_500m,OH,WUI-S,500,5526370.000000000000,388206.000000000000,419894.000000000000,808100.000000000000
national49_standardized_500m,OK,WUI-P,500,1320816.000000000000,145004.000000000000,283368.000000000000,428372.000000000000
national49_standardized_500m,OK,WUI-S,500,2154900.000000000000,493524.000000000000,574405.000000000000,1067929.000000000000
national49_standardized_500m,OR,WUI-P,500,12123802.000000000000,936072.000000000000,2233566.000000000000,3169638.000000000000
