state,method,buffer_m,variable,formal_fdr_cluster_type,county_count
ND,WUI-S,500,p_a,HH,8
ND,WUI-S,500,p_a,LL,13
ND,WUI-S,500,p_a,NOT_SIGNIFICANT,32
ND,WUI-S,500,p_s,HH,7
ND,WUI-S,500,p_s,LH,1
ND,WUI-S,500,p_s,LL,11
ND,WUI-S,500,p_s,NOT_SIGNIFICANT,34
ND,WUI-Z,500,p_a,NOT_SIGNIFICANT,53
NE,WUI-P,500,p_a,NOT_SIGNIFICANT,93
NE,WUI-P,500,p_s,HH,3
NE,WUI-P,500,p_s,LL,7
NE,WUI-P,500,p_s,NOT_SIGNIFICANT,83
NE,WUI-S,500,p_a,NOT_SIGNIFICANT,93
NE,WUI-S,500,p_s,HH,18
NE,WUI-S,500,p_s,LH,1
NE,WUI-S,500,p_s,LL,21
NE,WUI-S,500,p_s,NOT_SIGNIFICANT,53
NE,WUI-Z,500,p_a,NOT_SIGNIFICANT,93
NH,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,10
NH,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,10
NH,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,10
NH,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,10
NH,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,10
NJ,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,21
NJ,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,21
NJ,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,21
NJ,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,21
NJ,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,21
NM,WUI-P,500,p_a,NOT_SIGNIFICANT,33
NM,WUI-P,500,p_s,NOT_SIGNIFICANT,33
NM,WUI-S,500,p_a,NOT_SIGNIFICANT,33
NM,WUI-S,500,p_s,NOT_SIGNIFICANT,33
NM,WUI-Z,500,p_a,NOT_SIGNIFICANT,33
NV,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,17
NV,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,16
NV,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,17
NV,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,17
NV,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,17
NY,WUI-P,500,p_a,HH,8
NY,WUI-P,500,p_a,LL,4
NY,WUI-P,500,p_a,NOT_SIGNIFICANT,50
NY,WUI-P,500,p_s,HH,1
NY,WUI-P,500,p_s,LL,4
NY,WUI-P,500,p_s,NOT_SIGNIFICANT,57
NY,WUI-S,500,p_a,HH,7
NY,WUI-S,500,p_a,LL,3
NY,WUI-S,500,p_a,NOT_SIGNIFICANT,52
NY,WUI-S,500,p_s,HH,1
NY,WUI-S,500,p_s,LL,5
NY,WUI-S,500,p_s,NOT_SIGNIFICANT,56
NY,WUI-Z,500,p_a,HH,7
NY,WUI-Z,500,p_a,LL,4
NY,WUI-Z,500,p_a,NOT_SIGNIFICANT,51
OH,WUI-P,500,p_a,HH,5
OH,WUI-P,500,p_a,LL,18
OH,WUI-P,500,p_a,NOT_SIGNIFICANT,65
OH,WUI-P,500,p_s,HH,13
OH,WUI-P,500,p_s,LL,19
OH,WUI-P,500,p_s,NOT_SIGNIFICANT,56
OH,WUI-S,500,p_a,HH,14
OH,WUI-S,500,p_a,LL,18
OH,WUI-S,500,p_a,NOT_SIGNIFICANT,56
OH,WUI-S,500,p_s,HH,15
OH,WUI-S,500,p_s,LL,22
OH,WUI-S,500,p_s,NOT_SIGNIFICANT,51
OH,WUI-Z,500,p_a,HH,2
OH,WUI-Z,500,p_a,LL,16
OH,WUI-Z,500,p_a,NOT_SIGNIFICANT,70
OK,WUI-P,500,p_a,NOT_SIGNIFICANT,77
OK,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,27
OK,WUI-S,500,p_a,HH,7
OK,WUI-S,500,p_a,LL,4
OK,WUI-S,500,p_a,NOT_SIGNIFICANT,66
OK,WUI-S,500,p_s,HH,4
OK,WUI-S,500,p_s,LL,2
OK,WUI-S,500,p_s,NOT_SIGNIFICANT,71
OK,WUI-Z,500,p_a,HH,5
OK,WUI-Z,500,p_a,LL,8
OK,WUI-Z,500,p_a,NOT_SIGNIFICANT,64
OR,WUI-P,500,p_a,HH,5
OR,WUI-P,500,p_a,LL,4
OR,WUI-P,500,p_a,NOT_SIGNIFICANT,27
OR,WUI-P,500,p_s,NOT_SIGNIFICANT,36
OR,WUI-S,500,p_a,HH,3
OR,WUI-S,500,p_a,LL,1
OR,WUI-S,500,p_a,NOT_SIGNIFICANT,32
OR,WUI-S,500,p_s,NOT_SIGNIFICANT,36
OR,WUI-Z,500,p_a,HH,4
OR,WUI-Z,500,p_a,LL,7
OR,WUI-Z,500,p_a,NOT_SIGNIFICANT,25
PA,WUI-P,500,p_a,NOT_SIGNIFICANT,67
PA,WUI-P,500,p_s,HH,6
PA,WUI-P,500,p_s,LL,7
PA,WUI-P,500,p_s,NOT_SIGNIFICANT,54
PA,WUI-S,500,p_a,NOT_SIGNIFICANT,67
PA,WUI-S,500,p_s,HH,5
PA,WUI-S,500,p_s,LL,8
PA,WUI-S,500,p_s,NOT_SIGNIFICANT,54
PA,WUI-Z,500,p_a,HH,6
PA,WUI-Z,500,p_a,LL,5
PA,WUI-Z,500,p_a,NOT_SIGNIFICANT,56
RI,WUI-P,500,p_a,ISLAND_OR_UNDEFINED,5
RI,WUI-P,500,p_s,ISLAND_OR_UNDEFINED,5
RI,WUI-S,500,p_a,ISLAND_OR_UNDEFINED,5
RI,WUI-S,500,p_s,ISLAND_OR_UNDEFINED,5
RI,WUI-Z,500,p_a,ISLAND_OR_UNDEFINED,5
SC,WUI-P,500,p_a,NOT_SIGNIFICANT,46
SC,WUI-P,500,p_s,NOT_SIGNIFICANT,44
SC,WUI-S,500,p_a,NOT_SIGNIFICANT,46
SC,WUI-S,500,p_s,NOT_SIGNIFICANT,46
SC,WUI-Z,500,p_a,LL,3
SC,WUI-Z,500,p_a,NOT_SIGNIFICANT,43
SD,WUI-P,500,p_a,NOT_SIGNIFICANT,66
SD,WUI-P,500,p_s,HH,6
SD,WUI-P,500,p_s,LL,6
SD,WUI-P,500,p_s,NOT_SIGNIFICANT,54
SD,WUI-S,500,p_a,LL,8
SD,WUI-S,500,p_a,NOT_SIGNIFICANT,58
SD,WUI-S,500,p_s,HH,17
SD,WUI-S,500,p_s,LL,15
SD,WUI-S,500,p_s,NOT_SIGNIFICANT,34
SD,WUI-Z,500,p_a,NOT_SIGNIFICANT,66
TN,WUI-P,500,p_a,HH,2
TN,WUI-P,500,p_a,LL,8
TN,WUI-P,500,p_a,NOT_SIGNIFICANT,85
TN,WUI-P,500,p_s,NOT_SIGNIFICANT,95
TN,WUI-S,500,p_a,HH,2
TN,WUI-S,500,p_a,LL,8
TN,WUI-S,500,p_a,NOT_SIGNIFICANT,85
