state,radius_m,method_pair,common_valid_pixels,intersection_pixels,intersection_area_km2
NC,500,WUI-P/WUI-Z,154877123,42757484,38481.735600000000
NC,500,WUI-S/WUI-Z,154877123,39167613,35250.851699999999
ND,500,WUI-P/WUI-S,203454506,2923656,2631.290400000000
ND,500,WUI-P/WUI-Z,203454506,588758,529.882200000000
ND,500,WUI-S/WUI-Z,203454506,551249,496.124100000000
NE,500,WUI-P/WUI-S,222587524,4763654,4287.288600000000
NE,500,WUI-P/WUI-Z,222587524,816618,734.956200000000
NE,500,WUI-S/WUI-Z,222587524,810450,729.405000000000
NH,500,WUI-P/WUI-S,26906819,11913887,10722.498299999999
NH,500,WUI-P/WUI-Z,26906819,10002798,9002.518200000000
NH,500,WUI-S/WUI-Z,26906819,9107931,8197.137900000000
NJ,500,WUI-P/WUI-S,25091131,8722751,7850.475899999999
NJ,500,WUI-P/WUI-Z,25091131,7291693,6562.523700000000
NJ,500,WUI-S/WUI-Z,25091131,7412963,6671.666700000000
NM,500,WUI-P/WUI-S,349916765,10893999,9804.599099999999
NM,500,WUI-P/WUI-Z,349916765,6192782,5573.503800000000
NM,500,WUI-S/WUI-Z,349916765,6282891,5654.601900000000
NV,500,WUI-P/WUI-S,318196629,3925747,3533.172300000000
NV,500,WUI-P/WUI-Z,318196629,2411603,2170.442700000000
NV,500,WUI-S/WUI-Z,318196629,2375065,2137.558500000000
NY,500,WUI-P/WUI-S,157006893,45667239,41100.515099999997
NY,500,WUI-P/WUI-Z,157006893,30002919,27002.627100000002
NY,500,WUI-S/WUI-Z,157006893,30378500,27340.650000000001
OH,500,WUI-P/WUI-S,128998124,22075388,19867.849200000001
OH,500,WUI-P/WUI-Z,128998124,13740655,12366.589500000000
OH,500,WUI-S/WUI-Z,128998124,14891477,13402.329299999999
OK,500,WUI-P/WUI-S,201152946,5154238,4638.814200000000
OK,500,WUI-P/WUI-Z,201152946,3588123,3229.310700000000
OK,500,WUI-S/WUI-Z,201152946,12210080,10989.072000000000
OR,500,WUI-P/WUI-S,283110409,15500679,13950.611100000000
OR,500,WUI-P/WUI-Z,283110409,8113651,7302.285900000000
OR,500,WUI-S/WUI-Z,283110409,7814502,7033.051800000000
PA,500,WUI-P/WUI-S,132533003,46512198,41860.978199999998
PA,500,WUI-P/WUI-Z,132533003,31330852,28197.766800000001
PA,500,WUI-S/WUI-Z,132533003,34349835,30914.851500000001
RI,500,WUI-P/WUI-S,4446043,1836268,1652.641200000000
RI,500,WUI-P/WUI-Z,4446043,1521323,1369.190700000000
RI,500,WUI-S/WUI-Z,4446043,1528166,1375.349400000000
SC,500,WUI-P/WUI-S,92156012,23027723,20724.950700000001
SC,500,WUI-P/WUI-Z,92156012,16829742,15146.767800000000
SC,500,WUI-S/WUI-Z,92156012,21382287,19244.058300000001
SD,500,WUI-P/WUI-S,221921550,2684119,2415.707100000000
SD,500,WUI-P/WUI-Z,221921542,971266,874.139400000000
SD,500,WUI-S/WUI-Z,221921542,1091542,982.387800000000
TN,500,WUI-P/WUI-S,121238469,33023344,29721.009600000001
TN,500,WUI-P/WUI-Z,121238469,22150389,19935.350100000000
TN,500,WUI-S/WUI-Z,121238469,22052123,19846.910700000000
TX,500,WUI-P/WUI-S,772955584,68084844,61276.359600000003
TX,500,WUI-P/WUI-Z,772955584,35779084,32201.175599999999
TX,500,WUI-S/WUI-Z,772955584,34997579,31497.821100000001
UT,500,WUI-P/WUI-S,244316751,5764762,5188.285800000000
UT,500,WUI-P/WUI-Z,244316751,3385916,3047.324400000000
UT,500,WUI-S/WUI-Z,244316751,3401791,3061.611900000000
VA,500,WUI-P/WUI-S,123095781,44780899,40302.809099999999
VA,500,WUI-P/WUI-Z,123095781,30114143,27102.728700000000
VA,500,WUI-S/WUI-Z,123095781,30011789,27010.610100000002
VT,500,WUI-P/WUI-S,27670406,10409978,9368.980200000000
VT,500,WUI-P/WUI-Z,27670406,6743752,6069.376800000000
VT,500,WUI-S/WUI-Z,27670406,6685198,6016.678200000000
WA,500,WUI-P/WUI-S,205186365,21643430,19479.087000000000
WA,500,WUI-P/WUI-Z,205186365,13488170,12139.352999999999
WA,500,WUI-S/WUI-Z,205186365,13633400,12270.059999999999
WI,500,WUI-P/WUI-S,188484126,38094529,34285.076099999998
WI,500,WUI-P/WUI-Z,188484126,15546773,13992.095700000000
WI,500,WUI-S/WUI-Z,188484126,12453034,11207.730600000001
WV,500,WUI-P/WUI-S,69728289,26049816,23444.834400000000
WV,500,WUI-P/WUI-Z,69728289,14483372,13035.034799999999
WV,500,WUI-S/WUI-Z,69728289,13560994,12204.894600000000
WY,500,WUI-P/WUI-S,281473571,6105526,5494.973400000000
WY,500,WUI-P/WUI-Z,281473571,2257383,2031.644700000000
WY,500,WUI-S/WUI-Z,281473571,2158067,1942.260300000000
